model_name,batch_size,param_count,family_CNN,family_ResNet,family_Transformers,family_Diffusion,family_GNN,family_GAN,family_Recommender,family_Audio,family_Video,family_ReinforcementLearning,family_MultiModal,family_MLP,family_Other,k
alexnet,128,61100840,1,0,0,0,0,0,0,0,0,0,0,0,0,0.548761
alexnet,128,4593848,1,0,0,0,0,0,0,0,0,0,0,0,0,0.598626
alexnet,32,4593848,1,0,0,0,0,0,0,0,0,0,0,0,0,0.545027
background_matting,2,2628134,0,0,0,0,0,0,0,0,0,0,0,0,1,0.689056
background_matting,2,18189894,0,0,0,0,0,0,0,0,0,0,0,0,1,0.80311
background_matting,4,2628134,0,0,0,0,0,0,0,0,0,0,0,0,1,0.656185
background_matting,4,18189894,0,0,0,0,0,0,0,0,0,0,0,0,1,0.884031
bert_pytorch,16,56037170,0,0,1,0,0,0,0,0,0,0,0,0,0,0.847421
bert_pytorch,16,18583090,0,0,1,0,0,0,0,0,0,0,0,0,0,0.816795
bert_pytorch,64,56037170,0,0,1,0,0,0,0,0,0,0,0,0,0,1.050109
bert_pytorch,64,18583090,0,0,1,0,0,0,0,0,0,0,0,0,0,0.980069
clip,16,151276545,0,0,0,0,0,0,0,0,0,0,1,0,0,0.606509
clip,16,29418241,0,0,0,0,0,0,0,0,0,0,1,0,0,0.798992
clip,32,151276545,0,0,0,0,0,0,0,0,0,0,1,0,0,0.78276
clip,32,29418241,0,0,0,0,0,0,0,0,0,0,1,0,0,0.729075
cyclegan,1,28273544,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95317
cyclegan,1,5313992,0,0,0,0,0,1,0,0,0,0,0,0,0,0.954448
cyclegan,2,28273544,0,0,0,0,0,1,0,0,0,0,0,0,0,0.978225
cyclegan,2,5313992,0,0,0,0,0,1,0,0,0,0,0,0,0,0.967072
dcgan,32,6342272,0,0,0,0,0,1,0,0,0,0,0,0,0,0.709512
dcgan,32,1794880,0,0,0,0,0,1,0,0,0,0,0,0,0,0.74058
dcgan,64,6342272,0,0,0,0,0,1,0,0,0,0,0,0,0,0.558083
dcgan,64,1794880,0,0,0,0,0,1,0,0,0,0,0,0,0,0.437992
deep_recommender,256,20829344,0,0,0,0,0,0,1,0,0,0,0,0,0,0.679865
deep_recommender,256,5196176,0,0,0,0,0,0,1,0,0,0,0,0,0,0.642018
deep_recommender,512,20829344,0,0,0,0,0,0,1,0,0,0,0,0,0,0.655828
deep_recommender,512,5196176,0,0,0,0,0,0,1,0,0,0,0,0,0,0.615678
densenet,128,7176586,1,0,0,0,0,0,0,0,0,0,0,0,0,0.953013
densenet,128,239114,1,0,0,0,0,0,0,0,0,0,0,0,0,0.568629
densenet,64,7176586,1,0,0,0,0,0,0,0,0,0,0,0,0,0.846162
densenet,64,239114,1,0,0,0,0,0,0,0,0,0,0,0,0,0.777001
densenet121,64,7978856,1,0,0,0,0,0,0,0,0,0,0,0,0,0.973084
densenet121,64,2338816,1,0,0,0,0,0,0,0,0,0,0,0,0,0.844692
edgecnn,16,2081832,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0005
edgecnn,16,524840,0,0,0,0,1,0,0,0,0,0,0,0,0,0.961794
edgecnn,32,524840,0,0,0,0,1,0,0,0,0,0,0,0,0,1.010643
efficientnet_b0,128,1712522,1,0,0,0,0,0,0,0,0,0,0,0,0,0.815351
efficientnet_b0,32,5288548,1,0,0,0,0,0,0,0,0,0,0,0,0,0.837679
efficientnet_b0,32,1712522,1,0,0,0,0,0,0,0,0,0,0,0,0,0.819357
fastNLP,32,36103170,0,0,1,0,0,0,0,0,0,0,0,0,0,0.911047
fastNLP,32,8601090,0,0,1,0,0,0,0,0,0,0,0,0,0,0.74322
fastNLP,8,36103170,0,0,1,0,0,0,0,0,0,0,0,0,0,0.791012
fastNLP,8,8601090,0,0,1,0,0,0,0,0,0,0,0,0,0,0.858793
gin,32,927751,0,0,0,0,1,0,0,0,0,0,0,0,0,0.772343
